683		 7	 85		 	 79		 14
691		 7	 36		 	 32		 28
701		 8	 98		 	 94		 8
709		 8	 68		 	 291		 2
719		 7	 63		 	 11		 20
727		 8	 17		 	 40		 6
733		 8	 22		 	 86		 12
739		 8	 93		 	 49		 10
743		 7	 265		 	 12		 38
751		 8	 66		 	 58		 2
757		 8	 20		 	 201		 2
761		 9	 69		 	 231		 4
769		 8	 162		 	 190		 2
773		 7	 37		 	 15		 48
787		 8	 6		 	 141		 2
797		 9	 25		 	 130		 4
809		 8	 33		 	 11		 4
811		 7	 325		 	 16		 26
821		 8	 56		 	 145		 2
823		 8	 200		 	 38		 6
827		 7	 25		 	 22		 30
829		 8	 28		 	 121		 8
839		 8	 166		 	 232		 8
853		 8	 117		 	 17		 6
857		 8	 25		 	 155		 8
859		 8	 175		 	 376		 2
863		 8	 13		 	 50		 4
877		 9	 35		 	 155		 4
881		 7	 115		 	 60		 36
883		 7	 19		 	 17		 22
887		 9	 181		 	 75		 4
907		 8	 149		 	 45		 4
911		 9	 51		 	 23		 4
919		 9	 19		 	 147		 2
929		 9	 118		 	 157		 4
937		 8	 263		 	 163		 4
941		 8	 89		 	 29		 16
947		 8	 232		 	 18		 4
953		 7	 471		 	 11		 36
967		 8	 31		 	 91		 10
971		 7	 86		 	 12		 52
977		 8	 4		 	 11		 8
983		 8	 98		 	 65		 16
991		 8	 119		 	 48		 6
997		 9	 118		 	 189		 2
1009		 8	 183		 	 434		 2
1013		 8	 112		 	 141		 8
1019		 8	 32		 	 16		 12
1021		 8	 340		 	 169		 2
1031		 8	 222		 	 36		 6
1033		 7	 240		 	 25		 34
1039		 8	 138		 	 50		 8
1049		 8	 51		 	 280		 4
1051		 9	 204		 	 178		 4
1061		 8	 23		 	 151		 8
1063		 9	 107		 	 273		 2
1069		 8	 231		 	 21		 10
1087		 8	 7		 	 18		 14
1091		 8	 155		 	 209		 8
1093		 9	 229		 	 75		 2
1097		 8	 70		 	 169		 4
1103		 8	 180		 	 20		 14
1109		 8	 139		 	 76		 16
1117		 8	 245		 	 452		 4
1123		 7	 35		 	 17		 76
1129		 8	 25		 	 447		 4
1151		 9	 19		 	 544		 4
1153		 8	 63		 	 106		 16
1163		 9	 307		 	 444		 4
1171		 9	 86		 	 535		 2
1181		 9	 177		 	 314		 4
1187		 9	 112		 	 29		 4
1193		 8	 45		 	 51		 12
1201		 10	 6		 	 152		 2
1213		 8	 247		 	 26		 26
1217		 8	 427		 	 43		 8
1223		 8	 11		 	 50		 12
1229		 8	 571		 	 35		 4
1231		 8	 204		 	 208		 4
1237		 8	 27		 	 170		 10
1249		 8	 248		 	 22		 8
1259		 8	 353		 	 79		 4
1277		 8	 357		 	 10		 28
1279		 8	 172		 	 61		 8
1283		 8	 259		 	 208		 16
1289		 8	 199		 	 8		 4
1291		 8	 283		 	 18		 12
1297		 10	 185		 	 488		 2
1301		 8	 73		 	 14		 18
1303		 10	 2		 	 333		 2
1307		 9	 185		 	 55		 8
1319		 9	 163		 	 41		 8
1321		 8	 119		 	 47		 16
1327		 8	 73		 	 239		 16
1361		 8	 40		 	 175		 8
1367		 8	 93		 	 28		 24
1373		 8	 60		 	 8		 20
1381		 8	 20		 	 99		 4
1399		 8	 55		 	 15		 14
1409		 8	 60		 	 78		 6
1423		 8	 399		 	 289		 10
1427		 8	 17		 	 108		 8
1429		 9	 144		 	 597		 2
1433		 8	 135		 	 140		 12
1439		 8	 72		 	 235		 16
1447		 8	 115		 	 53		 34
1451		 8	 92		 	 103		 14
1453		 8	 262		 	 217		 16
1459		 8	 68		 	 440		 4
1471		 8	 34		 	 155		 8
1481		 8	 225		 	 163		 4
1483		 9	 79		 	 88		 2
1487		 8	 98		 	 28		 8
1489		 8	 222		 	 64		 18
1493		 10	 161		 	 191		 4
1499		 8	 105		 	 44		 4
1511		 9	 524		 	 64		 4
1523		 9	 165		 	 543		 4
1531		 8	 50		 	 16		 14
1543		 8	 236		 	 61		 22
1549		 8	 326		 	 47		 30
1553		 8	 155		 	 197		 12
1559		 8	 110		 	 66		 14
1567		 9	 124		 	 333		 2
1571		 10	 80		 	 590		 4
1579		 10	 61		 	 149		 4
1583		 9	 26		 	 80		 8
1597		 9	 83		 	 127		 4
1601		 8	 147		 	 19		 18
1607		 9	 193		 	 207		 4
1609		 9	 227		 	 89		 14
1613		 9	 4		 	 67		 4
1619		 9	 242		 	 386		 4
1621		 8	 76		 	 43		 16
1627		 8	 476		 	 242		 6
1637		 9	 171		 	 182		 8
1657		 9	 219		 	 137		 4
1663		 8	 9		 	 57		 14
1667		 9	 498		 	 11		 4
1669		 9	 312		 	 436		 2
1693		 8	 17		 	 25		 18
1697		 9	 200		 	 300		 4
1699		 8	 27		 	 10		 12
1709		 9	 592		 	 35		 2
1721		 9	 12		 	 125		 2
1723		 8	 111		 	 180		 8
1733		 8	 65		 	 120		 32
1741		 9	 109		 	 51		 12
1747		 9	 48		 	 472		 2
1753		 9	 38		 	 838		 2
1759		 9	 261		 	 207		 6
1777		 9	 80		 	 174		 4
1783		 9	 149		 	 180		 8
1787		 10	 19		 	 30		 4
1789		 8	 320		 	 69		 10
1801		 9	 273		 	 54		 12
1811		 8	 280		 	 12		 40
1823		 9	 48		 	 255		 4
1831		 9	 235		 	 227		 8
1847		 8	 11		 	 22		 16
1861		 9	 38		 	 77		 6
1867		 8	 326		 	 27		 38
1871		 8	 128		 	 128		 14
1873		 9	 138		 	 538		 2
1877		 8	 108		 	 43		 10
1879		 9	 81		 	 100		 14
